Leeftijd,Gewicht,Brandstof,Aantal zitplaatsen,Aantal wielen,Aantal deuren,Voertuigsoort
20,259,Benzine,2,2,0,Motorfiets
6,830,Benzine,4,4,4,Personenauto
1,11391,Diesel,32,6,3,Bus
27,520,Geen,0,2,0,Aanhangwagen
7,1030,Diesel,5,4,5,Personenauto
1,21285,Elektriciteit,45,10,6,Bus
14,213,Benzine,2,2,0,Motorfiets
12,905,Benzine,4,4,2,Personenauto
6,13764,Diesel,52,6,2,Bus
39,98,Benzine,2,2,0,Motorfiets
17,4800,Diesel,26,4,2,Bus
27,361,Geen,0,2,0,Aanhangwagen
1,198,Benzine,2,2,0,Motorfiets
14,243,Benzine,2,2,0,Motorfiets
11,988,Benzine,5,4,3,Personenauto
14,1289,Geen,0,2,0,Aanhangwagen
16,920,Geen,0,2,0,Aanhangwagen
8,209,Benzine,2,2,0,Motorfiets
21,10880,Diesel,58,4,2,Bus
30,552,Geen,0,2,0,Aanhangwagen
19,310,Benzine,2,2,0,Motorfiets
4,110,Benzine,2,2,0,Motorfiets
14,1375,Benzine,5,4,4,Personenauto
12,12550,CNG,32,4,2,Bus
8,1471,Diesel,5,4,4,Personenauto
13,74,Benzine,2,2,0,Motorfiets
15,486,Geen,0,2,0,Aanhangwagen
9,1135,Geen,0,2,0,Aanhangwagen
14,234,Benzine,2,2,0,Motorfiets
22,600,Geen,0,2,0,Aanhangwagen
15,1028,Benzine,5,4,4,Personenauto
37,1030,Geen,0,2,0,Aanhangwagen
8,820,Benzine,5,4,4,Personenauto
3,1050,Elektriciteit,5,4,4,Personenauto
3,11450,Diesel,44,6,4,Bus
17,870,Geen,0,2,0,Aanhangwagen
36,640,Geen,0,2,0,Aanhangwagen
44,266,Geen,0,2,0,Aanhangwagen
1,13650,Elektriciteit,44,6,4,Bus
22,680,Geen,0,2,0,Aanhangwagen
8,9000,Diesel,33,4,2,Bus
3,12525,CNG,42,6,2,Bus
18,870,Geen,0,2,0,Aanhangwagen
15,730,Geen,0,2,0,Aanhangwagen
2,1305,Benzine,5,4,5,Personenauto
22,1040,Geen,0,2,0,Aanhangwagen
14,480,Geen,0,2,0,Aanhangwagen
12,204,Benzine,2,2,0,Motorfiets
19,1255,Benzine,5,4,4,Personenauto
11,1180,Geen,0,2,0,Aanhangwagen
8,955,Benzine,5,4,4,Personenauto
28,20880,Diesel,17,8,2,Bus
21,935,Geen,0,6,0,Aanhangwagen
21,1140,Geen,0,4,0,Aanhangwagen
9,13120,CNG,33,4,2,Bus
1,1234,Benzine,5,4,5,Personenauto
30,556,Geen,0,2,0,Aanhangwagen
4,231,Benzine,2,2,0,Motorfiets
10,1293,Benzine,5,4,4,Personenauto
13,8875,Diesel,40,4,4,Bus
12,194,Benzine,2,2,0,Motorfiets
22,600,Geen,0,2,0,Aanhangwagen
11,1345,Benzine,5,4,4,Personenauto
10,923,Geen,0,4,0,Aanhangwagen
12,12838,Diesel,50,4,2,Bus
14,183,Benzine,2,2,0,Motorfiets
13,200,Benzine,2,2,0,Motorfiets
8,1255,Benzine,5,4,4,Personenauto
15,234,Benzine,2,2,0,Motorfiets
1,13650,Elektriciteit,44,6,4,Bus
16,322,Benzine,2,2,0,Motorfiets
11,234,Benzine,2,2,0,Motorfiets
2,13280,Diesel,51,6,2,Bus
17,1070,Geen,0,2,0,Aanhangwagen
5,13570,Diesel,50,6,2,Bus
15,998,Geen,0,2,0,Aanhangwagen
9,9000,Diesel,38,4,3,Bus
6,193,Benzine,2,2,0,Motorfiets
12,12010,Diesel,44,4,2,Bus
2,16242,Diesel,53,10,3,Bus
17,176,Benzine,2,2,0,Motorfiets
25,1240,Geen,0,2,0,Aanhangwagen
13,615,Geen,0,2,0,Aanhangwagen
